package,locked_versions,severity,title,vulnerable_range,url,scope
colord,2.9.3,moderate,Colord: Slow rejection of oversized malformed color strings,<2.9.4,https://github.com/advisories/GHSA-2wm5-q62r-hmrv,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
dompurify,3.4.11,low,DOMPurify: `CUSTOM_ELEMENT_HANDLING` bypasses `afterSanitizeElements` for allowed custom elements.,<=3.4.11,https://github.com/advisories/GHSA-c2j3-45gr-mqc4,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
dompurify,3.4.11,moderate,"DOMPurify: IN_PLACE hook removal leaves a detached subtree executable, causing XSS",<=3.4.12,https://github.com/advisories/GHSA-55q2-fjhq-7xh7,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
esbuild,0.25.12; 0.27.7; 0.28.0; 0.28.1,low,esbuild allows arbitrary file read when running the development server on Windows,>=0.27.3 <0.28.1,https://github.com/advisories/GHSA-g7r4-m6w7-qqqr,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
fastify,5.9.0,moderate,fastify vulnerable to schema validation bypass via root primitive coercion mismatch,<5.12.1,https://github.com/advisories/GHSA-w2qp-rph6-63g4,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
fastify,5.9.0,moderate,fastify vulnerable to X-Forwarded-* spoofing under trustProxy hop-count,>=5.8.3 <5.12.1,https://github.com/advisories/GHSA-3m5p-2c4r-xxw2,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
fflate,0.4.8; 0.8.2,moderate,fflate unzipSync can enter an infinite loop when parsing malformed ZIP64 archives,>=0.8.0 <0.8.3,https://github.com/advisories/GHSA-px8p-9vwx-vf98,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
fflate,0.4.8; 0.8.2,moderate,fflate unzipSync can enter an infinite loop when parsing malformed ZIP64 archives,>=0.4.5 <0.4.9,https://github.com/advisories/GHSA-px8p-9vwx-vf98,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
handlebars,4.7.8,high,Handlebars.js has JavaScript Injection via AST Type Confusion by tampering @partial-block,>=4.0.0 <=4.7.8,https://github.com/advisories/GHSA-3mfm-83xf-c92r,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
handlebars,4.7.8,critical,Handlebars.js has JavaScript Injection via AST Type Confusion,>=4.0.0 <=4.7.8,https://github.com/advisories/GHSA-2w6w-674q-4c4q,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
handlebars,4.7.8,moderate,Handlebars.js has Prototype Pollution Leading to XSS through Partial Template Injection,>=4.0.0 <4.7.9,https://github.com/advisories/GHSA-2qvq-rjwj-gvw9,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
handlebars,4.7.8,moderate,Handlebars.js has a Prototype Method Access Control Gap via Missing __lookupSetter__ Blocklist Entry,>=4.6.0 <=4.7.8,https://github.com/advisories/GHSA-7rx3-28cr-v5wh,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
handlebars,4.7.8,low,Handlebars.js has a Property Access Validation Bypass in container.lookup,>=4.0.0 <=4.7.8,https://github.com/advisories/GHSA-442j-39wm-28r2,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
handlebars,4.7.8,high,Handlebars.js has JavaScript Injection via AST Type Confusion when passing an object as dynamic partial,>=4.0.0 <=4.7.8,https://github.com/advisories/GHSA-xhpv-hc6g-r9c6,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
handlebars,4.7.8,high,Handlebars.js has Denial of Service via Malformed Decorator Syntax in Template Compilation,>=4.0.0 <=4.7.8,https://github.com/advisories/GHSA-9cx6-37pm-9jff,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
handlebars,4.7.8,high,Handlebars.js has JavaScript Injection in CLI Precompiler via Unescaped Names and Options,>=4.0.0 <=4.7.8,https://github.com/advisories/GHSA-xjpj-3mr7-gcpf,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
http-proxy-middleware,2.0.9,moderate,http-proxy-middleware `router` host+path substring matching allows Host-header-driven backend routing bypass,>=0.16.0 <2.0.10,https://github.com/advisories/GHSA-64mm-vxmg-q3vj,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
image-size,2.0.2,high,image-size: ICNS parser allows denial of service through an infinite loop,<=2.0.2,https://github.com/advisories/GHSA-w3rx-r6r6-pgpr,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
image-size,2.0.2,high,image-size: JXL and HEIF parsers allow denial of service through infinite loops,<=2.0.2,https://github.com/advisories/GHSA-5p2g-fcmc-qvqq,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
joi,17.13.3,moderate,joi has an uncaught RangeError on deeply nested input through recursive `link()` schemas,<17.13.4,https://github.com/advisories/GHSA-q7cg-457f-vx79,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
joi,17.13.3,low,joi: Prototype pollution via a `__proto__` language key in custom messages,>=17.2.0 <17.13.6,https://github.com/advisories/GHSA-6w3j-5fw6-r9vr,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
joi,17.13.3,low,joi: object().rename() with a template target can set the validated object's prototype,>=16.0.0 <17.13.5,https://github.com/advisories/GHSA-gg4h-3hg2-grpc,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
js-yaml,3.15.1; 4.3.1,high,js-yaml: maxTotalMergeKeys does not limit CPU use for empty merge sources,>=3.0.0 <3.15.2,https://github.com/advisories/GHSA-2883-xcg3-v3hh,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
js-yaml,3.15.1; 4.3.1,high,js-yaml: maxTotalMergeKeys does not limit CPU use for empty merge sources,>=4.0.0 <4.3.2,https://github.com/advisories/GHSA-2883-xcg3-v3hh,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
mdast-util-to-hast,13.2.0,moderate,mdast-util-to-hast has unsanitized class attribute,>=13.0.0 <13.2.1,https://github.com/advisories/GHSA-4fh9-h7wg-q85m,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
mermaid,11.15.0,low,Mermaid configuration APIs allow prototype pollution,>=11.0.0-alpha.1 <11.16.1,https://github.com/advisories/GHSA-c4c3-pg64-4m4v,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
mermaid,11.15.0,moderate,Mermaid allows CSS injection applying to sibling elements of the diagram,>=11.0.0-alpha.1 <11.16.1,https://github.com/advisories/GHSA-6x64-9x62-f2gx,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
mermaid,11.15.0,moderate,Mermaid Architecture diagrams are vulnerable to prototype pollution,>=11.5.0 <11.16.1,https://github.com/advisories/GHSA-3rrr-jr9j-h3q3,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
mermaid,11.15.0,moderate,Mermaid XY Charts are vulnerable to an infinite loop DoS,>=11.0.0-alpha.1 <11.16.1,https://github.com/advisories/GHSA-2v8p-3f2j-5mp7,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
mermaid,11.15.0,moderate,Mermaid radar diagrams are vulnerable to DoS,>=11.6.0 <11.16.1,https://github.com/advisories/GHSA-rhh3-jpg6-66xh,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
min-document,2.19.0,low,min-document vulnerable to prototype pollution,<=2.19.0,https://github.com/advisories/GHSA-rx8g-88g5-qh64,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
next,16.3.1,critical,Next.js: Unauthenticated Remote Code Execution on windows-hosted servers,>=16.0.0 <16.3.3,https://github.com/advisories/GHSA-p293-qw3h-jr36,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
next,16.3.1,critical,Next.js: Unauthenticated Remote Code Execution in Image Optimization API when AVIF files are used,>=16.0.0 <16.3.3,https://github.com/advisories/GHSA-2xp9-vwfh-vxw4,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
postcss-selector-parser,6.1.2; 7.1.0,low,postcss-selector-parser allows denial of service through uncontrolled AST recursion,>=7.1.0 <7.1.3,https://github.com/advisories/GHSA-w9m9-85wc-3x92,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
postcss-selector-parser,6.1.2; 7.1.0,low,postcss-selector-parser allows denial of service through uncontrolled AST recursion,>=6.1.0 <6.1.3,https://github.com/advisories/GHSA-w9m9-85wc-3x92,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
postcss,8.5.18; 8.5.23,moderate,PostCSS: incomplete fix of GHSA-6g55-p6wh-862q — attacker-controlled sourceMappingURL reads arbitrary .map files when `from` is unset,<=8.5.22,https://github.com/advisories/GHSA-fxqj-rqcc-2cmp,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
qs,6.15.2,moderate,qs array-limit bypass via bracket-key comma parsing,>=6.14.2 <=6.15.3,https://github.com/advisories/GHSA-x5fp-wj9c-mxmx,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
qs,6.15.2,moderate,qs: Denial of Service via Attacker Controlled isBuffer,>=2.2.5 <6.16.0,https://github.com/advisories/GHSA-4mjr-xmp4-gh2g,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
quill,2.0.3,low,Quill is vulnerable to XSS via HTML export feature,=2.0.3,https://github.com/advisories/GHSA-v3m3-f69x-jf25,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
sharp,0.35.3,high,sharp: Vulnerabilities in libheif: GHSA-g89c-p67h-r497 and GHSA-2jg2-4ch7-h545,<0.35.4,https://github.com/advisories/GHSA-rgj7-g3m4-5g8c,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
svgo,3.3.4,high,SVGO: removeScripts allows executable links through namespace and control-character bypasses,>=3.0.0 <3.3.5,https://github.com/advisories/GHSA-w27v-7q3p-w38r,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
svgo,3.3.4,moderate,SVGO: removeScripts incompletely sanitizes executable HTML in SVG foreignObject elements,>=3.0.0 <3.3.5,https://github.com/advisories/GHSA-4vpr-x523-8j87,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
undici,6.23.0; 7.29.1; 8.10.2; 8.9.0,high,Undici: Malicious WebSocket 64-bit length overflows parser and crashes the client,>=6.0.0 <6.24.0,https://github.com/advisories/GHSA-f269-vfmq-vjvj,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
undici,6.23.0; 7.29.1; 8.10.2; 8.9.0,moderate,Undici has an HTTP Request/Response Smuggling issue,<6.24.0,https://github.com/advisories/GHSA-2mjp-6q6p-2qxm,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
undici,6.23.0; 7.29.1; 8.10.2; 8.9.0,high,Undici has Unbounded Memory Consumption in WebSocket permessage-deflate Decompression,<6.24.0,https://github.com/advisories/GHSA-vrm6-8vpv-qv8q,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
undici,6.23.0; 7.29.1; 8.10.2; 8.9.0,high,Undici has Unhandled Exception in WebSocket Client Due to Invalid server_max_window_bits Validation,<6.24.0,https://github.com/advisories/GHSA-v9p9-hfj2-hcw8,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
undici,6.23.0; 7.29.1; 8.10.2; 8.9.0,moderate,Undici has CRLF Injection in undici via `upgrade` option,<6.24.0,https://github.com/advisories/GHSA-4992-7rv2-5pvq,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
undici,6.23.0; 7.29.1; 8.10.2; 8.9.0,moderate,undici vulnerable to downstream response desynchronization via retry interceptor,<6.28.0,https://github.com/advisories/GHSA-8xcm-r25x-g524,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
undici,6.23.0; 7.29.1; 8.10.2; 8.9.0,moderate,undici vulnerable to CRLF Injection via blob-like body 'type' property,<6.28.0,https://github.com/advisories/GHSA-m8rv-5g2x-5cg5,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
undici,6.23.0; 7.29.1; 8.10.2; 8.9.0,moderate,undici vulnerable to cookie attribute injection via unsanitized domain and unparsed setCookie fields,<6.28.0,https://github.com/advisories/GHSA-v3r7-h72x-cjcm,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
undici,6.23.0; 7.29.1; 8.10.2; 8.9.0,moderate,undici vulnerable to HTTP header injection via Set-Cookie percent-decoding,<6.27.0,https://github.com/advisories/GHSA-p88m-4jfj-68fv,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
undici,6.23.0; 7.29.1; 8.10.2; 8.9.0,high,undici WebSocket client vulnerable to denial of service via fragment count bypass,<6.27.0,https://github.com/advisories/GHSA-vxpw-j846-p89q,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
undici,6.23.0; 7.29.1; 8.10.2; 8.9.0,low,undici vulnerable to Set-Cookie SameSite attribute downgrade via permissive substring matching,<6.27.0,https://github.com/advisories/GHSA-g8m3-5g58-fq7m,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
undici,6.23.0; 7.29.1; 8.10.2; 8.9.0,low,undici vulnerable to HTTP response queue poisoning via keep-alive socket reuse,<6.27.0,https://github.com/advisories/GHSA-35p6-xmwp-9g52,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
uuid,14.0.0; 8.3.2,moderate,uuid: Missing buffer bounds check in v3/v5/v6 when buf is provided,<11.1.1,https://github.com/advisories/GHSA-w5hq-g745-h8pq,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
vitest,4.1.10,moderate,Vitest: Path Traversal / Arbitrary File Read via @vitest/mocker Redirect Mock,>=2.1.0 <4.1.11,https://github.com/advisories/GHSA-82fw-gwwq-j7x9,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
webpack-dev-server,5.2.4,moderate,webpack-dev-server vulnerable to HMR WebSocket interception via permissive user proxies,<5.2.5,https://github.com/advisories/GHSA-mx8g-39q3-5c79,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
webpack-dev-server,5.2.4,moderate,webpack-dev-server vulnerable to cross-site request forgery via internal developer endpoints,<=5.2.5,https://github.com/advisories/GHSA-f5vj-f2hx-8m93,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
webpack-dev-server,5.2.4,moderate,webpack-dev-server vulnerable to denial of service via a malformed Host or Origin header,<=5.2.5,https://github.com/advisories/GHSA-m28w-2pqf-7qgj,"Full lockfile, includes development and optional dependencies; runtime exploitability not established"
