issue,title,pr_disposition,pr_coverage,pr_confidence,current_issue_state,remaining_requirement,this_audit
6008,bug: manage/about page fails to load with ECONNREFUSED,addressed,full,high,OPEN,Validate /manage/about in the affected source-built/restricted-network deployment and inspect any new digest if direct dependency reading fails; the original loopback ECONNREFUSED path is removed.,PR claim inventoried; not individually re-reproduced
5867,feat: REST Endpoint  to manage boards,addressed,full,high,OPEN,The issue's minimal create-board/add-app workflow is covered. Declarative read/update/delete coverage for every board item and related resources remains the separate #6435/#6546 scope.,PR claim inventoried; not individually re-reproduced
5730,bug: Administration menu breaks if you click around the options too much,addressed,partial,high,OPEN,"Verify logs navigation on release/v2, then independently reproduce the Scalar dependency error and tRPC stream shutdown. Upgrade or isolate incompatible Scalar/tRPC behavior and add a server-safe close path if those two failures remain; the xterm source change alone does not close the compound report.",PR claim inventoried; not individually re-reproduced
5342,bug: Homarr generates malformed DNS queries (<host>https) for Tracearr integration,addressed,full,high,OPEN,"No product work remains for the reported malformed URL. If the issue was not closed on GitHub, mention it as fixed by v2; monitor a real Tracearr deployment for unrelated proxy/image failures.",PR claim inventoried; not individually re-reproduced
5336,feat: widget to display missing / queued movies & episodes,addressed,full,high,OPEN,No issue-specific implementation gap remains; verify integration-specific data quality separately if a particular Radarr/Sonarr version reports different queue semantics.,PR claim inventoried; not individually re-reproduced
5085,bug: Unable to connect to LDAP,addressed,partial,high,OPEN,"The exact Authentik LDAP Outpost schema, sAMAccountName attribute, and provider response were unavailable; the controlled fixture proves the duplicate-result failure and final-candidate filter/dn success path but does not prove Authentik-specific behavior. The distinguishedName configuration variant needs a vendor fixture that actually returns a distinguishedName attribute; OpenLDAP's protocol dn equivalent was tested end to end.",PR claim inventoried; not individually re-reproduced
4973,bug: System Resources Incorrect Total Ram for TrueNAS 25.04,addressed,full,high,OPEN,"Confirm the original TrueNAS 25.04 payload has available memory between zero and physmem, then compare System Resources and Health Monitoring against the host. The arithmetic fix is present; no live TrueNAS validation was performed.",PR claim inventoried; not individually re-reproduced
4965,bug: LDAP authentication fails for users with non-ASCII characters in Distinguished Name,addressed,full,high,OPEN,Retest against the reported AD/LDAPS vendor and a non-ASCII DN; keep separate coverage for username-schema validation and LDAP filter escaping.,PR claim inventoried; not individually re-reproduced
4906,feat: Top right UI Cleanup (concept video inside),addressed,partial,medium,OPEN,"Because the source request is a visual concept without exact acceptance criteria, keep this partial. Validate keyboard, touch, screen-reader, and hidden-header discoverability against the specific video expectations.",PR claim inventoried; not individually re-reproduced
4815,feature: Seed the database with a showcase default dashboard using the new JSON import endpoint,addressed,partial,high,OPEN,"Add or explicitly ship a standard fresh-install showcase configuration with the requested no-integration widgets, clock locations, stock note, links/search engine, and verified defaults; clarify whether DEMO_MODE is the intended showcase entry point. The in-place selection/creation workflow has no remaining source-level gap, but its integrated behavior was not live-tested.",PR claim inventoried; not individually re-reproduced
4797,feat(releases): support image tags,addressed,partial,high,OPEN,"The tag endpoint and latest/no-filter path work for repository discovery, but exact image-tag selection and flexible include/exclude filters are still missing. Verify the reporter's :latest and desired tag semantics against a current Docker Hub repository.",PR claim inventoried; not individually re-reproduced
4543,feat: Edit apps inside Edit Item,addressed,full,high,OPEN,No material gap for the stated request. Permission gating is intentional: the App tab appears only for users with app-modify-all.,PR claim inventoried; not individually re-reproduced
4541,feat(boards): support automatic layout for different screen sizes,addressed,partial,high,OPEN,"Decide whether editing Base should automatically regenerate every non-Base layout or only offer reset; if automatic, propagate the new Base elements/geometry to existing layouts while preserving intentional overrides, then verify save and migration behavior.",PR claim inventoried; not individually re-reproduced
4533,feat: show Description next to title for application,addressed,full,high,OPEN,"The default remains column layout, so users must choose a horizontal layout for this arrangement. Verify whether the reporter expected horizontal to become the default rather than an available option.",PR claim inventoried; not individually re-reproduced
4406,bug: OIDC not working with Cloudflare Zero Trust / SaaS,addressed,partial,medium,OPEN,Validate the authorization-code and claim mapping against a real Cloudflare Zero Trust tenant if that provider is still required; the controlled fixture establishes the fragment failure mechanism and the code-flow contract.,PR claim inventoried; not individually re-reproduced
4330,feat(icon-picker): show more than 12 icons per source,addressed,partial,high,OPEN,Add bounded pagination or progressive loading with a visible control and a way to know whether a repository is truncated. Keep search reset and performance behavior explicit; the current 24-result increase only reduces the symptom.,PR claim inventoried; not individually re-reproduced
4159,bug: Tasks page does not load,addressed,full,high,OPEN,Confirm a source-built or otherwise non-Docker V2 deployment can start the embedded task service and load /manage/tools/tasks; investigate startup failures separately if the embedded service rejects readiness.,PR claim inventoried; not individually re-reproduced
4157,feat: Download Client Item - Job Name column should be wider than the rest.,addressed,full,medium,OPEN,"Users may still tune widths for unusually long names, but no issue-level implementation gap remains. A browser check can verify the persisted resize interaction.",PR claim inventoried; not individually re-reproduced
3990,feat: Allow one URL and just map ports for each app,addressed,partial,high,OPEN,"Add a server- or user-scoped base-address registry, app-level selection/reference semantics, and a deliberate update/migration policy for existing hrefs. Preserve the current one-origin template as a convenient setup default.",PR claim inventoried; not individually re-reproduced
3913,feat: Support running as fully non-root containers,addressed,partial,high,OPEN,"Support a genuinely non-root image/entrypoint path that never requires chown or privileged filesystem setup, define writable cache/runtime directories and Docker socket behavior, and verify Docker/Podman/Kubernetes user configurations.",PR claim inventoried; not individually re-reproduced
3904,feat: GPU usage in Dash component,addressed,full,high,OPEN,No source-level implementation gap remains. GPU visibility and telemetry still depend on a Dashdot build that exposes /load/gpu; live hardware verification was outside this triage.,PR claim inventoried; not individually re-reproduced
3887,feat: allow no network for system resources and allow proxmox to be used,addressed,partial,high,OPEN,Either add a Proxmox-compatible System Resources adapter with clearly defined network semantics or update the widget documentation/selector wording to describe cluster-only Proxmox support. No network-chart handling gap remains for integrations that return no network samples.,PR claim inventoried; not individually re-reproduced
3805,bug: cache invalidation for board settings not working,addressed,full,high,OPEN,"The v2 code path is explicit, but no browser reproduction was run here. Verify persistence in the reported Firefox/ultrawide scenario after a reload and across another session.",PR claim inventoried; not individually re-reproduced
3786,feat: automatic service discovery,addressed,partial,high,OPEN,The code does not create a continuously populated runtime discovered-services widget/section or the requested automatic filter. Confirm whether onboarding/admin-assisted setup is an accepted replacement; otherwise the persistent discovery presentation remains open.,PR claim inventoried; not individually re-reproduced
3771,feat(boards): open all apps,addressed,partial,high,OPEN,"Promote the shared app-opening helper to the board header, define how nested/duplicated apps and popup blockers behave, and verify it is available in view mode for read-only users as requested by the unmerged PR.",PR claim inventoried; not individually re-reproduced
3732,Release Widget: Icon only,addressed,full,medium,OPEN,"The original attachment pixels and external GitHub rate-limit behavior were not used; the widget rendered against a controlled release fixture. This confirms the reported disappearing-version behavior is fixed in the current fixture, with bounded visual confidence rather than exact legacy screenshot parity.",PR claim inventoried; not individually re-reproduced
3731,Release Widget: Docker importable programs,addressed,partial,medium,OPEN,"Decide whether cross-provider image identity should be canonicalized or whether the import UI should clearly explain that imagegenius/immich is a different source. Add a regression case for the screenshot's GHCR image and existing immich-app/immich entry, then verify the imported source actually serves releases.",PR claim inventoried; not individually re-reproduced
3675,bug: Stopping the container with SIGTERM fails,addressed,partial,medium,OPEN,Docker fixtures passed; the original Podman/deployment and pathological child processes that ignore SIGTERM were not exercised.,PR claim inventoried; not individually re-reproduced
3597,bug: nexcloud integration with subpaths do not work,addressed,full,high,OPEN,"Five direct assertions against the unmodified release/v2 URL helper passed (root, subpath, trailing slash, existing DAV endpoint, query/hash cleanup). A live Nextcloud calendar request, authentication and rendering remain untested; see RUNTIME-VALIDATION.md.",PR claim inventoried; not individually re-reproduced
3595,feat: Focus search bar like pre 1.0,addressed,partial,medium,OPEN,"Decide whether V2 should autofocus/open Spotlight on board entry or expose a focusable persistent search field; if the original behavior remains desired, add a page-load/new-tab trigger and verify keyboard focus accessibility.",PR claim inventoried; not individually re-reproduced
3515,feat: Personalize the upper right menu bar,addressed,full,medium,OPEN,No material gap for the stated request. Verify the specific mobile/desktop arrangement only if the reporter expected separate per-device custom layouts.,PR claim inventoried; not individually re-reproduced
3287,feat: sidebars,addressed,full,high,OPEN,"Users should still test migrated v1 layouts and responsive widths in their own deployment, but the requested sidebar capability is present in v2.",PR claim inventoried; not individually re-reproduced
3266,feat: Multiple Docker Environments in GUI,addressed,partial,high,OPEN,"Build a management UI to add, edit, validate, test, and remove named Docker endpoints, with secure secret/certificate handling and a clear persistence model. The existing environment configuration is a backend capability and does not complete the GUI request.",PR claim inventoried; not individually re-reproduced
3220,bug(calendar): Nextcloud integration - not all entries are displayed,addressed,partial,medium,OPEN,"Retest with the original Nextcloud version, calendar count, recurrence/all-day data, and exact time zone. Add a fixture covering all calendars and recurrence exceptions, then confirm whether unsupported VEVENT forms or server-side DAV responses still omit entries.",PR claim inventoried; not individually re-reproduced
2911,bug: Cannot drag apps from dynamic zone,addressed,full,medium,OPEN,"On release/v2, drag multiple apps successively out of a migrated container and between containers. Verify the second and subsequent drags move the selected app rather than the parent, including after save/reload. Keep this issue pending that reproduction.",PR claim inventoried; not individually re-reproduced
2861,"bug: All apps drop out of their categories on mobile, or if the browser is resized to a smaller width",addressed,partial,high,OPEN,"Test a migrated v1 board with categories/dynamic sections across every configured breakpoint, including edits followed by resize and refresh. If the requirement is invariant functional membership, v2 needs shared section membership or automatic synchronized updates; Base reset/projection alone does not guarantee it.",PR claim inventoried; not individually re-reproduced
2657,feat(auth): support object path for groups and username claims,addressed,full,high,OPEN,No issue-level implementation gap remains for the reported nested Keycloak claim. The linked PR #6294's open/dev status should not override the directly inspected release/v2 implementation; deployment-specific verification is optional.,PR claim inventoried; not individually re-reproduced
2495,feat: Redirect to login page if not logged in,addressed,partial,high,OPEN,"Existing public boards intentionally render without login, and management routes do not consistently retain the original destination. Decide whether the desired policy is all boards/manage routes or only protected resources, then verify each route.",PR claim inventoried; not individually re-reproduced
2482,feat: add all relevant tRPC queries / mutations as openapi endpoint,addressed,partial,high,OPEN,"Define the supported API surface and add metadata/output schemas for the relevant missing routers and procedures, with deliberate exclusions for sensitive or UI-only operations. The existing OpenAPI subset and API-key handler do not satisfy the stated all-relevant coverage.",PR claim inventoried; not individually re-reproduced
2160,feat: Two proxmox on one TAB,addressed,full,high,OPEN,Confirm with the two standalone Proxmox servers. Per-host panels remain separate within the widget; aggregated totals were not an explicit requirement in this conversation.,PR claim inventoried; not individually re-reproduced
2095,feat: add css templates,addressed,partial,high,OPEN,"Add a structured template format with typed variables, explicit selector/target scopes, composition semantics, and selectors for item and container settings. Workshop's raw CSS import is useful partial coverage but cannot prove the requested fragment system.",PR claim inventoried; not individually re-reproduced
2078,feat: Permission per App / App-Element / Dynamic Group,addressed,partial,high,OPEN,"Implement and define the native semantics for group-based visibility of apps, bookmarks, widgets, and nested containers, including layout reflow and whether hidden items are removed or merely disabled. Treat it as presentation/access control with explicit security boundaries; Custom Widgets or a user-created workaround do not satisfy native app and item filtering.",PR claim inventoried; not individually re-reproduced
1921,feat: Add titles and folding for Dynamic Sections,addressed,full,high,OPEN,"There is no dedicated opacity slider in the Container options, and the legacy transform only changes the section kind. Verify migrated boards if the opacity follow-up is still required.",PR claim inventoried; not individually re-reproduced
962,bug: item and dynamic section menus overlap,addressed,partial,high,OPEN,"At one column and four nested levels, ancestor collapse controls can cover the center of the deepest expand button. Settings menus work, but the whole collapse-control layout is not fully resolved. One-row, one-column, four-level menus remain overlapping; all four stay inside their cards after the final bounds refinement. Original migrated board was unavailable.",PR claim inventoried; not individually re-reproduced
925,feat: import items from another board,addressed,partial,high,OPEN,"A board-to-board import picker with preview, permission handling, and an option to choose items without manually switching tabs would still be needed for the full proposal.",PR claim inventoried; not individually re-reproduced
437,feat: add board preview,addressed,full,high,OPEN,"No issue-level gap was identified. A browser check could confirm the visual fidelity at unusual board layouts, but source evidence covers the requested capability.",PR claim inventoried; not individually re-reproduced
6849,bug: I can't switch between the dark and light themes,needs-verification,,,OPEN,,PR claim inventoried; not individually re-reproduced
6847,"feat(plex): media releases widget should list newly added episodes, not seasons",not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
6823,bug:,needs-verification,,,OPEN,,PR claim inventoried; not individually re-reproduced
6811,bug: Annoying scroll bar,needs-verification,,,OPEN,,PR claim inventoried; not individually re-reproduced
6803,feat: Add support for Unraid Storage Pools,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
6764,"aria2 integration: torrents never report 'seeding' state, always 'leeching'",not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
6728,feat: Ping health-check timeout is hardcoded and too short for slower endpoints,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
6677,feat: save state of accordion in system health monitor,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
6644,feat: add GPU charts to Beszel System Stats widget,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
6643,feat: Allow reordering boards in the board switcher,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
6620,bug: Dashboard briefly flashes skeleton placeholders on every refresh since v1.75.0,needs-verification,,,OPEN,,PR claim inventoried; not individually re-reproduced
6614,feat: Add Quven integration,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
6593,"bug: Pi-hole v6 / Plex integrations send unauthenticated periodic health-check requests, causing real 401s",not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
6519,bug: RSS widget poster images don't load for reddit feeds,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
6516,bug: mysql migration error,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
6438,bug: OOM with 1.71.0,needs-verification,,,OPEN,,PR claim inventoried; not individually re-reproduced
6403,feat: Dynamic apps fetched from reverse proxy,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
6300,bug: Memory leak,needs-verification,,,OPEN,,PR claim inventoried; not individually re-reproduced
6271,bug: TrueNAS Integration eating up memory on TrueNAS host,needs-verification,,,OPEN,,PR claim inventoried; not individually re-reproduced
6254,feat: aMule,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
6177,bug: Homarr red action buttons on Floorp browser ofen spin forver w/o completion,needs-verification,,,OPEN,,PR claim inventoried; not individually re-reproduced
6155,feat: re-open: Transfer to the existing Dashdot graphs?  #5964,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
6152,feat: re-open: add Wazuh  #3765,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
6024,bug: SyntaxError: Expecting Unicode escape sequence \uXXXX (1:10901),needs-verification,,,OPEN,,PR claim inventoried; not individually re-reproduced
6002,"bug: Uptime-Kuma, paused has no effect",not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
5769,feat: Support Kubernetes integration as dashboard widgets instead of a global tool for multi-tenant access control,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
5716,bug: OIDC group assignment is not working if user is only in one group,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
5538,bug: No integration data available for unraid disks,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
5387,feat: Pushover Integration,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
5154,feat: SLO (Single Log-out),not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
4766,bug: Homarr blocks HTTP/2 WebSocket connections for other sites sharing the same reverse proxy,needs-verification,,,OPEN,,PR claim inventoried; not individually re-reproduced
4738,bug: Dashboard Layout - Saving Changes Failure,needs-verification,,,OPEN,,PR claim inventoried; not individually re-reproduced
4563,feat: Generic Game Server Status Widget,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
4562,feat(integrations): support music media type for seerr,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
4538,bug: iCal widget intergration not working,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
4455,feat: Ability to disable users without deleting them.,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
4361,feat(media-releases): support selection of user for library fetching,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
4246,bug: download client sorting only on client side,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
4190,"bug: Cannot integrate with OMV, Invalid system information response",needs-verification,,,OPEN,,PR claim inventoried; not individually re-reproduced
4143,feat: separate region from language,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
4026,bug: Downloads: number of shown entries per intergration include already hidden entries,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
3853,feat: Allow Docker stats widget to be seen without admin privileges,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
3843,feat: Ability to set the border color or transparency of tables in the Notebook widget,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
3784,feat(app-widget): container linking & run toggling,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
3778,feat(boards): configure default behaviour for open in new tab,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
3758,feat(release-widget): synchronize marked as viewed over multiple devices,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
3704,bug: removed integrations keep coming back,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
3696,feat: Integration for Scrutiny,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
3512,feat: Add Support for Homey API Integration,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
3478,feat(login): add possibility to specify forgot password link,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
3407,bug: background jittering when scrolling,needs-verification,,,OPEN,,PR claim inventoried; not individually re-reproduced
3371,feat: upload video backgrounds,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
3140,bug: Bookmark and notebook widget not working anymore,needs-verification,,,OPEN,,PR claim inventoried; not individually re-reproduced
3064,feat(integrations): store sessions for emby / jellyfin,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
3055,feat: Provide SSO user information - groups and other auth info,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
2555,feat: add settings to configure file upload limit,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
2508,feat: log source ip for failed login attempts,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
2480,feat: fetch app icons automatically,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
2478,feat: import / export apps,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
2362,feat: wake on lan widget,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
2294,feat: Integration with FileFlows,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
2154,feat: Re-add ability to use different port number,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
1014,feat: Import browser bookmarks,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
125,Dependency Dashboard,not-addressed,,,OPEN,,PR claim inventoried; not individually re-reproduced
